BookYear,Petrels,DaysSept1,Time
2014,8,103,PM
2014,5,103,PM
2014,2,103,PM
2014,1,103,PM
2014,1,103,PM
2014,1,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
2014,0,103,PM
1996,0,104,PM
1998,0,104,PM
2007,0,104,PM
1994,0,105,PM
1995,2,105,PM
2001,0,105,PM
2002,0,105,PM
2008,2,105,PM
2010,0,105,PM
2015,1,105,PM
2016,0,105,PM
2017,0,105,PM
1993,0,106,PM
1997,0,106,PM
2000,0,106,PM
2009,2,106,PM
2012,0,106,PM
1991,0,107,PM
1999,0,107,PM
2016,0,107,PM
1992,0,108,PM
2000,0,108,PM
2004,1,108,PM
2014,0,108,PM
1988,0,109,PM
1996,0,109,PM
1998,0,109,PM
2002,0,109,PM
2007,2,109,PM
2016,1,109,PM
1995,0,110,PM
2008,0,110,PM
2010,0,110,PM
2013,0,110,PM
2015,29,110,PM
2016,0,110,PM
2017,2,110,PM
1997,0,111,PM
2001,0,111,PM
2009,0,111,PM
2012,0,111,PM
1988,0,112,PM
1991,0,112,PM
1993,0,112,PM
1999,0,112,PM
2018,0,112,PM
1994,0,113,PM
2000,2,113,PM
2006,1,113,PM
2014,1,113,PM
1992,0,114,PM
1996,0,114,PM
2002,0,114,PM
2004,0,114,PM
2007,0,114,PM
1994,0,115,PM
1995,0,115,PM
1998,0,115,PM
2001,0,115,PM
2008,0,115,PM
2010,0,115,PM
2013,0,115,PM
2015,19,115,PM
2016,1,115,PM
2017,1,115,PM
1988,0,116,PM
2005,3,116,PM
2012,0,116,PM
1993,0,117,PM
2009,0,117,PM
1989,0,118,PM
1991,0,118,PM
1997,0,118,PM
1999,0,118,PM
2000,0,118,PM
2006,2,118,PM
2014,18,118,PM
1988,0,119,PM
1992,0,119,PM
1996,0,119,PM
2002,1,119,PM
2007,0,119,PM
1995,0,120,PM
1998,0,120,PM
2008,0,120,PM
2010,0,120,PM
2013,0,120,PM
2016,0,120,PM
2017,1,120,PM
2001,0,121,PM
2009,0,121,PM
2012,0,121,PM
2015,0,121,PM
2018,1,121,PM
1989,0,122,PM
1993,0,122,PM
1994,0,122,PM
2000,0,122,PM
2001,0,122,PM
2002,0,122,PM
2016,0,122,PM
2008,0,122,AM
1992,0,123,PM
1997,1,123,PM
2001,0,123,PM
2015,3,123,PM
1998,1,124,PM
2003,0,124,PM
2008,0,124,PM
2009,1,124,PM
2017,0,124,PM
1995,0,125,PM
1999,0,125,PM
2004,3,125,PM
2013,0,125,PM
2014,1,125,PM
2016,10,125,PM
2018,0,125,PM
2004,3,125,AM
2014,2,125,AM
1989,0,126,PM
1996,0,126,PM
1996,0,126,PM
2002,0,126,PM
2006,2,126,PM
2010,0,126,PM
2011,0,126,PM
2012,0,126,AM
1993,0,127,PM
1994,0,127,PM
1998,0,127,PM
2000,0,127,PM
2001,0,127,PM
2019,0,127,PM
1999,0,127,AM
2001,0,127,AM
2003,1,127,AM
2005,0,127,AM
2013,0,127,AM
1992,0,128,PM
1997,0,128,PM
2001,8,128,PM
2015,4,128,PM
2015,2,128,PM
2015,1,128,PM
2015,1,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2015,0,128,PM
2014,8,128,AM
1990,1,129,PM
1995,0,129,PM
2003,0,129,PM
2008,0,129,PM
2009,0,129,PM
2020,1,129,PM
1989,0,130,PM
1999,1,130,PM
2011,0,130,PM
2013,0,130,PM
2016,1,130,PM
2018,0,130,PM
1998,1,130,AM
2004,1,130,AM
2014,1,130,AM
1995,0,131,PM
1996,0,131,PM
1996,0,131,PM
2002,0,131,PM
2010,0,131,PM
2014,0,131,PM
1997,5,131,AM
2006,1,131,AM
2007,0,131,AM
2008,0,131,AM
2009,3,131,AM
2010,1,131,AM
2012,0,131,AM
2013,1,131,AM
2015,1,131,AM
2016,2,131,AM
2017,1,131,AM
2018,1,131,AM
2019,8,131,AM
1990,0,132,PM
1992,0,132,PM
1993,0,132,PM
1994,0,132,PM
1998,0,132,PM
2000,0,132,PM
2019,0,132,PM
1998,0,132,AM
2004,1,132,AM
2014,2,132,AM
2022,1,132,AM
1997,0,133,PM
2001,0,133,PM
2015,1,133,PM
2017,1,133,PM
2023,0,133,PM
2006,1,133,AM
2007,2,133,AM
2008,2,133,AM
2009,1,133,AM
2010,0,133,AM
2012,0,133,AM
2015,0,133,AM
2016,2,133,AM
2017,3,133,AM
2018,2,133,AM
2019,0,133,AM
2003,0,134,PM
2008,1,134,PM
2009,0,134,PM
2017,0,134,PM
2020,0,134,PM
1998,0,134,AM
2004,2,134,AM
2013,0,134,AM
2014,3,134,AM
2015,0,134,AM
2022,1,134,AM
1990,0,135,PM
1995,0,135,PM
2004,3,135,PM
2011,0,135,PM
2013,0,135,PM
2014,0,135,PM
2018,0,135,PM
2022,0,135,PM
2006,1,135,AM
2007,0,135,AM
2008,0,135,AM
2009,0,135,AM
2010,1,135,AM
2012,1,135,AM
2015,0,135,AM
2016,1,135,AM
2017,1,135,AM
2018,8,135,AM
2019,0,135,AM
2021,1,135,AM
1995,2,136,PM
1996,0,136,PM
1997,0,136,PM
1999,0,136,PM
2002,0,136,PM
2010,0,136,PM
1994,2,136,AM
1996,2,136,AM
1998,3,136,AM
2001,0,136,AM
2002,2,136,AM
2003,1,136,AM
2004,1,136,AM
2005,0,136,AM
2014,2,136,AM
2015,1,136,AM
2022,0,136,AM
1992,0,137,PM
1993,0,137,PM
1994,0,137,PM
1996,0,137,PM
2000,0,137,PM
2001,1,137,PM
2005,2,137,PM
1989,4,137,AM
1995,0,137,AM
2000,0,137,AM
2006,2,137,AM
2007,1,137,AM
2008,2,137,AM
2009,3,137,AM
2010,1,137,AM
2012,2,137,AM
2015,3,137,AM
2016,3,137,AM
2017,0,137,AM
2018,1,137,AM
2019,1,137,AM
2021,1,137,AM
1990,0,138,PM
1994,0,138,PM
1995,0,138,PM
1997,5,138,PM
1998,1,138,PM
2015,0,138,PM
2019,0,138,PM
1989,0,138,AM
1993,0,138,AM
1994,2,138,AM
1996,5,138,AM
1997,1,138,AM
1998,2,138,AM
1999,0,138,AM
2001,2,138,AM
2002,2,138,AM
2003,1,138,AM
2004,1,138,AM
2005,1,138,AM
2013,0,138,AM
2014,2,138,AM
2015,0,138,AM
2021,2,138,AM
2022,0,138,AM
1996,1,139,PM
1997,0,139,PM
2008,0,139,PM
2009,0,139,PM
2020,1,139,PM
2023,0,139,PM
1995,1,139,AM
1996,0,139,AM
2001,2,139,AM
2006,3,139,AM
2007,2,139,AM
2008,0,139,AM
2009,1,139,AM
2010,3,139,AM
2012,2,139,AM
2015,2,139,AM
2016,1,139,AM
2017,2,139,AM
2018,1,139,AM
2021,2,139,AM
1989,0,140,PM
1992,0,140,PM
1994,0,140,PM
1995,0,140,PM
1999,0,140,PM
2003,0,140,PM
2005,1,140,PM
2011,1,140,PM
2013,0,140,PM
2014,0,140,PM
2016,1,140,PM
2017,1,140,PM
2018,1,140,PM
1989,4,140,AM
1993,0,140,AM
1994,2,140,AM
1998,1,140,AM
1999,0,140,AM
2002,1,140,AM
2003,5,140,AM
2004,3,140,AM
2005,0,140,AM
2013,1,140,AM
2014,2,140,AM
2015,3,140,AM
2016,7,140,AM
2019,1,140,AM
2021,1,140,AM
2022,0,140,AM
1995,0,141,PM
1996,3,141,PM
1997,1,141,PM
2002,0,141,PM
2010,1,141,PM
1994,1,141,AM
1995,3,141,AM
1996,0,141,AM
2000,3,141,AM
2001,2,141,AM
2006,2,141,AM
2007,2,141,AM
2008,2,141,AM
2009,0,141,AM
2010,0,141,AM
2012,2,141,AM
2015,2,141,AM
2016,1,141,AM
2017,2,141,AM
2018,0,141,AM
2019,1,141,AM
1992,0,142,PM
1994,0,142,PM
1994,0,142,PM
1998,0,142,PM
2000,1,142,PM
2001,0,142,PM
2020,1,142,PM
2022,0,142,PM
1989,7,142,AM
1993,0,142,AM
1997,1,142,AM
1998,2,142,AM
1999,0,142,AM
2002,1,142,AM
2003,1,142,AM
2004,0,142,AM
2005,7,142,AM
2013,2,142,AM
2014,2,142,AM
2015,6,142,AM
2016,2,142,AM
2019,1,142,AM
2021,1,142,AM
2022,1,142,AM
1993,9,143,PM
1995,2,143,PM
1996,0,143,PM
1997,0,143,PM
2007,10,143,PM
2015,0,143,PM
2019,0,143,PM
1994,6,143,AM
1995,0,143,AM
1996,0,143,AM
2001,18,143,AM
2006,1,143,AM
2007,2,143,AM
2008,0,143,AM
2009,0,143,AM
2010,0,143,AM
2012,2,143,AM
2014,2,143,AM
2015,1,143,AM
2016,6,143,AM
2017,0,143,AM
2018,1,143,AM
2021,5,143,AM
1990,0,144,PM
1994,0,144,PM
1995,0,144,PM
2008,3,144,PM
2009,2,144,PM
2017,0,144,PM
1993,0,144,AM
1994,2,144,AM
1999,0,144,AM
2000,0,144,AM
2002,1,144,AM
2003,8,144,AM
2004,4,144,AM
2005,1,144,AM
2013,0,144,AM
2014,2,144,AM
2015,4,144,AM
2016,1,144,AM
2019,0,144,AM
2021,1,144,AM
2022,1,144,AM
1989,16,145,PM
1992,0,145,PM
1996,1,145,PM
1997,1,145,PM
1999,8,145,PM
2005,0,145,PM
2011,0,145,PM
2013,0,145,PM
2018,1,145,PM
1989,1,145,AM
1995,5,145,AM
1996,1,145,AM
1998,1,145,AM
2001,3,145,AM
2006,1,145,AM
2007,1,145,AM
2008,2,145,AM
2009,5,145,AM
2010,2,145,AM
2015,2,145,AM
2016,2,145,AM
2017,2,145,AM
2018,1,145,AM
2021,2,145,AM
1992,0,146,PM
1994,0,146,PM
1995,0,146,PM
1998,0,146,PM
2002,1,146,PM
2010,0,146,PM
2014,0,146,PM
2016,0,146,PM
2020,2,146,PM
1993,0,146,AM
1994,2,146,AM
1997,0,146,AM
1998,0,146,AM
1999,0,146,AM
2002,0,146,AM
2003,1,146,AM
2004,4,146,AM
2005,4,146,AM
2012,3,146,AM
2013,1,146,AM
2014,2,146,AM
2015,3,146,AM
2016,4,146,AM
2019,1,146,AM
2021,2,146,AM
2022,4,146,AM
1992,1,147,PM
1993,0,147,PM
1996,4,147,PM
1997,4,147,PM
2000,17,147,PM
2006,9,147,PM
2019,0,147,PM
1989,5,147,AM
1991,0,147,AM
1995,4,147,AM
1996,4,147,AM
2001,3,147,AM
2006,3,147,AM
2007,1,147,AM
2008,3,147,AM
2009,1,147,AM
2010,3,147,AM
2012,3,147,AM
2015,3,147,AM
2016,7,147,AM
2017,4,147,AM
2018,3,147,AM
2021,1,147,AM
1990,4,148,PM
1992,0,148,PM
1994,0,148,PM
1995,2,148,PM
2001,0,148,PM
2015,4,148,PM
2023,0,148,PM
1991,1,148,AM
1993,0,148,AM
1994,4,148,AM
1998,7,148,AM
1999,3,148,AM
2002,3,148,AM
2003,25,148,AM
2004,3,148,AM
2005,1,148,AM
2013,1,148,AM
2014,8,148,AM
2015,3,148,AM
2016,4,148,AM
2017,2,148,AM
2019,4,148,AM
2022,1,148,AM
1992,0,149,PM
1993,0,149,PM
1996,5,149,PM
1997,6,149,PM
2003,6,149,PM
2004,6,149,PM
2008,0,149,PM
2009,2,149,PM
2017,1,149,PM
1989,6,149,AM
1991,0,149,AM
1995,0,149,AM
1996,6,149,AM
2000,1,149,AM
2001,6,149,AM
2006,0,149,AM
2007,1,149,AM
2008,9,149,AM
2009,10,149,AM
2010,0,149,AM
2012,0,149,AM
2015,1,149,AM
2016,2,149,AM
2017,2,149,AM
2018,1,149,AM
2021,2,149,AM
1989,3,150,PM
1992,2,150,PM
1992,0,150,PM
1994,0,150,PM
1998,0,150,PM
1999,4,150,PM
2005,1,150,PM
2011,1,150,PM
2013,3,150,PM
2014,0,150,PM
2016,0,150,PM
1991,0,150,AM
1993,0,150,AM
1997,2,150,AM
1998,17,150,AM
1999,1,150,AM
2002,11,150,AM
2003,21,150,AM
2004,1,150,AM
2005,1,150,AM
2013,4,150,AM
2014,8,150,AM
2015,2,150,AM
2016,1,150,AM
2017,6,150,AM
2018,0,150,AM
2019,4,150,AM
2022,5,150,AM
1992,0,151,PM
1992,0,151,PM
1993,1,151,PM
1995,0,151,PM
1996,0,151,PM
1997,9,151,PM
2002,0,151,PM
2010,1,151,PM
2018,6,151,PM
2022,0,151,PM
1989,10,151,AM
1991,0,151,AM
1992,0,151,AM
1994,4,151,AM
1995,0,151,AM
1996,9,151,AM
2000,2,151,AM
2001,7,151,AM
2006,2,151,AM
2007,3,151,AM
2008,0,151,AM
2009,2,151,AM
2010,1,151,AM
2012,3,151,AM
2015,3,151,AM
2016,1,151,AM
2017,2,151,AM
2021,7,151,AM
1992,3,152,PM
1994,0,152,PM
1995,1,152,PM
2000,20,152,PM
2001,0,152,PM
2019,0,152,PM
1991,0,152,AM
1993,0,152,AM
1994,3,152,AM
1998,11,152,AM
1999,1,152,AM
2002,13,152,AM
2003,6,152,AM
2004,8,152,AM
2005,1,152,AM
2006,4,152,AM
2013,2,152,AM
2014,4,152,AM
2015,2,152,AM
2016,2,152,AM
2017,3,152,AM
2022,4,152,AM
1992,2,153,PM
1993,0,153,PM
1994,0,153,PM
1996,14,153,PM
1997,3,153,PM
2015,2,153,PM
1989,6,153,AM
1991,0,153,AM
1993,0,153,AM
1995,14,153,AM
1996,8,153,AM
2000,2,153,AM
2001,4,153,AM
2006,2,153,AM
2007,1,153,AM
2008,8,153,AM
2009,1,153,AM
2010,4,153,AM
2015,5,153,AM
2016,13,153,AM
2017,1,153,AM
2018,6,153,AM
2019,1,153,AM
2021,1,153,AM
1994,0,154,PM
1995,0,154,PM
1998,14,154,PM
1999,3,154,PM
2003,8,154,PM
2008,0,154,PM
2009,2,154,PM
2017,0,154,PM
2020,2,154,PM
1990,2,154,AM
1993,0,154,AM
1994,2,154,AM
1997,22,154,AM
1998,5,154,AM
2002,6,154,AM
2003,12,154,AM
2004,3,154,AM
2012,3,154,AM
2013,3,154,AM
2014,8,154,AM
2015,3,154,AM
2016,2,154,AM
2018,1,154,AM
2021,2,154,AM
1990,19,155,PM
1992,21,155,PM
1993,9,155,PM
1994,0,155,PM
1996,9,155,PM
1997,5,155,PM
2004,1,155,PM
2011,0,155,PM
2013,2,155,PM
2018,10,155,PM
1989,23,155,AM
1990,0,155,AM
1991,0,155,AM
1992,0,155,AM
1993,0,155,AM
1995,9,155,AM
1996,4,155,AM
1999,2,155,AM
2000,2,155,AM
2001,2,155,AM
2005,34,155,AM
2006,2,155,AM
2007,1,155,AM
2008,2,155,AM
2009,2,155,AM
2010,1,155,AM
2012,3,155,AM
2015,5,155,AM
2016,1,155,AM
2017,1,155,AM
2018,3,155,AM
2019,1,155,AM
2022,3,155,AM
1989,1,156,PM
1990,6,156,PM
1994,0,156,PM
1995,8,156,PM
2010,2,156,PM
2016,0,156,PM
2023,0,156,PM
1989,10,156,AM
1990,5,156,AM
1993,0,156,AM
1994,6,156,AM
1999,7,156,AM
2001,0,156,AM
2002,14,156,AM
2003,3,156,AM
2004,0,156,AM
2013,2,156,AM
2014,11,156,AM
2015,2,156,AM
2016,2,156,AM
2018,1,156,AM
2021,4,156,AM
1990,3,157,PM
1992,28,157,PM
1993,2,157,PM
1994,0,157,PM
1997,19,157,PM
2001,0,157,PM
2002,2,157,PM
2014,9,157,PM
2019,1,157,PM
2022,0,157,PM
1990,4,157,AM
1991,0,157,AM
1992,0,157,AM
1993,0,157,AM
1996,0,157,AM
1998,3,157,AM
2000,4,157,AM
2005,1,157,AM
2006,5,157,AM
2007,0,157,AM
2008,2,157,AM
2009,2,157,AM
2010,1,157,AM
2012,9,157,AM
2015,2,157,AM
2016,14,157,AM
2017,2,157,AM
2018,3,157,AM
2019,1,157,AM
2022,5,157,AM
1990,0,158,PM
1992,8,158,PM
