BookYear,JulianDay,DaysSept1,DateFull,Weightkg
2006,31,173,1/31/07,2.5
2006,31,173,1/31/07,3.2
2006,31,173,1/31/07,2.875
2006,31,173,1/31/07,2.875
2006,31,173,1/31/07,2.475
2007,31,173,1/31/08,3
2007,31,173,1/31/08,3
2007,31,173,1/31/08,3.05
2007,31,173,1/31/08,3
2007,31,173,1/31/08,3.45
2007,31,173,1/31/08,3.3
2007,31,173,1/31/08,2.625
2007,31,173,1/31/08,3.45
2007,31,173,1/31/08,3.05
2007,31,173,1/31/08,3.35
2007,31,173,1/31/08,3
2007,31,173,1/31/08,3.9
2007,31,173,1/31/08,3.1
2007,31,173,1/31/08,3.15
2007,31,173,1/31/08,3.55
2008,31,173,1/31/09,2.2
2008,31,173,1/31/09,2.2
2008,31,173,1/31/09,2.725
2008,31,173,1/31/09,2.4
2008,31,173,1/31/09,2.825
2008,31,173,1/31/09,3.2
2008,31,173,1/31/09,2.6
2008,31,173,1/31/09,2.625
2008,31,173,1/31/09,2.55
2008,31,173,1/31/09,2.6
2008,31,173,1/31/09,2.4
2008,31,173,1/31/09,3.4
2008,31,173,1/31/09,2.625
2008,31,173,1/31/09,2.525
2008,31,173,1/31/09,3.1
2009,31,173,1/31/10,2.85
2009,31,173,1/31/10,3.2
2009,31,173,1/31/10,2.95
2009,31,173,1/31/10,3.5
2009,31,173,1/31/10,2.7
2009,31,173,1/31/10,2.65
2009,31,173,1/31/10,3.05
2009,31,173,1/31/10,2.4
2009,31,173,1/31/10,2.9
2009,31,173,1/31/10,2.8
2009,31,173,1/31/10,3.25
2009,31,173,1/31/10,2.675
2009,31,173,1/31/10,3
2010,31,173,1/31/11,2.225
2010,31,173,1/31/11,2.7
2010,31,173,1/31/11,2.125
2010,31,173,1/31/11,2.975
2010,31,173,1/31/11,3
2010,31,173,1/31/11,2.75
2010,31,173,1/31/11,3.25
2010,31,173,1/31/11,2.825
2010,31,173,1/31/11,2.775
2010,31,173,1/31/11,2.325
2010,31,173,1/31/11,3
2010,31,173,1/31/11,2.725
2010,31,173,1/31/11,2.925
2010,31,173,1/31/11,2.6
2010,31,173,1/31/11,2.775
2010,31,173,1/31/11,3.25
2010,31,173,1/31/11,2.825
2010,31,173,1/31/11,3.2
2010,31,173,1/31/11,2.75
2010,31,173,1/31/11,2.9
2010,31,173,1/31/11,2.8
2010,31,173,1/31/11,1.95
2010,31,173,1/31/11,2.7
2010,31,173,1/31/11,2.75
2010,31,173,1/31/11,3.1
2010,31,173,1/31/11,2.7
2010,31,173,1/31/11,2.95
2010,31,173,1/31/11,2.525
2010,31,173,1/31/11,2.675
2013,31,173,1/31/14,2.7
2013,31,173,1/31/14,2.95
2013,31,173,1/31/14,2.9
2013,31,173,1/31/14,2.9
2013,31,173,1/31/14,2.75
2013,31,173,1/31/14,2.6
2013,31,173,1/31/14,2.2
2013,31,173,1/31/14,2.85
2013,31,173,1/31/14,2.2
2013,31,173,1/31/14,2.65
2016,31,173,1/31/17,3.25
2016,31,173,1/31/17,3.45
2016,31,173,1/31/17,2.6
2016,31,173,1/31/17,3.2
2016,31,173,1/31/17,3.15
2016,31,173,1/31/17,3.45
2016,31,173,1/31/17,3.3
2016,31,173,1/31/17,3.05
2016,31,173,1/31/17,3.4
2016,31,173,1/31/17,3.2
2016,31,173,1/31/17,2.85
2017,31,173,1/31/18,3.55
2017,31,173,1/31/18,2.95
2017,31,173,1/31/18,3.2
2017,31,173,1/31/18,3.3
2017,31,173,1/31/18,2.8
2017,31,173,1/31/18,3.65
2017,31,173,1/31/18,2.9
2017,31,173,1/31/18,2.8
2017,31,173,1/31/18,2.6
2017,31,173,1/31/18,2.9
2017,31,173,1/31/18,3.45
2017,31,173,1/31/18,3.25
2017,31,173,1/31/18,2.8
2017,31,173,1/31/18,3.05
2017,31,173,1/31/18,2.45
